ticker,type,rotates,transparent,confidence,agrees_name,source,note,name_type,phi_63,phibar_63
GDOC,equity_longonly,N,Y,high,Y,adv_data/brochures/107738/text.txt Item 8,goldman future health care thematic equity,equity_longonly,0.9348,0.968
GREI,equity_longonly,N,Y,high,Y,adv_data/brochures/107738/text.txt Item 8,goldman future real estate and infrastructure equity; holds stocks,equity_longonly,0.9646,0.9805
GSFP,equity_longonly,N,Y,high,Y,adv_data/brochures/107738/text.txt Item 8,goldman future planet climate thematic equity,equity_longonly,0.9568,0.9752
GTEK,equity_longonly,N,Y,high,Y,adv_data/brochures/107738/text.txt Item 8,goldman future tech leaders thematic equity,equity_longonly,0.9127,0.9558
HDMV,equity_longonly,N,Y,high,Y,adv_data/brochures/109552/text.txt Item 8,horizon managed volatility; selects low-vol/defensive stocks; developed intl,equity_longonly,0.8276,0.908
HELX,equity_longonly,U,Y,medium,Y,adv_data/brochures/104517/text.txt Item 8,franklin advisers; genomic advancements thematic equity,equity_longonly,0.9304,0.9654
HSMV,equity_longonly,N,Y,high,Y,adv_data/brochures/109552/text.txt Item 8,horizon managed volatility; low-vol stock selection; small/mid cap,equity_longonly,0.8571,0.924
HUSV,equity_longonly,N,Y,high,Y,adv_data/brochures/109552/text.txt Item 8,horizon managed volatility; low-vol stock selection; domestic,equity_longonly,0.7633,0.8716
JEMA,equity_longonly,N,Y,high,Y,adv_data/brochures/107038/text.txt Item 8,jpmorgan activebuilders EM equity; long-only,equity_longonly,0.9708,0.9813
JGRO,equity_longonly,N,Y,high,Y,adv_data/brochures/107038/text.txt Item 8,jpmorgan active growth equity; long-only,equity_longonly,0.9652,0.9833
JIRE,equity_longonly,N,Y,high,Y,adv_data/brochures/107038/text.txt Item 8,jpmorgan intl research enhanced index equity; long-only,equity_longonly,0.9753,0.9876
JMEE,equity_longonly,N,Y,high,Y,adv_data/brochures/107038/text.txt Item 8,jpmorgan market expansion enhanced equity; long-only,equity_longonly,0.9098,0.9531
JPRE,equity_longonly,N,Y,high,Y,adv_data/brochures/107038/text.txt Item 8,jpmorgan realty income; reit equity long-only,equity_longonly,0.9322,0.9666
JUSA,equity_longonly,N,Y,high,Y,adv_data/brochures/107038/text.txt Item 8,jpmorgan activebuilders us large cap equity; long-only,equity_longonly,0.9797,0.9899
KEJI,equity_longonly,N,Y,high,Y,adv_data/brochures/152807/text.txt Item 8,mirae/global x; china disruption thematic equity,equity_longonly,0.9342,0.9661
LCTD,equity_longonly,N,Y,high,Y,adv_data/brochures/105247/text.txt Item 4/8,blackrock world ex-us carbon transition; long-only optimized equity,equity_longonly,0.9252,0.9613
LSAF,equity_longonly,N,Y,medium,Y,adv_data/brochures/153139/text.txt Item 5/8,redwood alphafactor us core equity; factor stock selection,equity_longonly,0.5517,0.7706
LSAT,equity_longonly,Y,Y,medium,Y,https://www.leadersharesetfs.com/funds/leadershares-tactical-focused-etf,alphafactor tactical; holds individual stocks plus money-market risk overlay; looked up,equity_longonly,0.7563,0.8727
MOTO,equity_longonly,U,Y,medium,Y,generic,penserra is generic tracking subadviser; smart transportation and tech thematic equity by name,equity_longonly,0.9763,0.9852
NDVG,equity_longonly,N,Y,high,Y,adv_data/brochures/155584/text.txt Item 8,nuveen dividend growth equity; long-only,equity_longonly,0.9855,0.9927
NUGO,equity_longonly,N,Y,high,Y,adv_data/brochures/155584/text.txt Item 8,nuveen growth opportunities equity; long-only,equity_longonly,0.9774,0.9889
NVQ,equity_longonly,U,Y,medium,Y,generic,exchange traded concepts white-label; qraft ai next value equity by name,equity_longonly,0.5513,0.7062
PSR,equity_longonly,N,Y,high,Y,adv_data/brochures/105360/text.txt Item 4/8,invesco active us real estate; reit equity long-only,equity_longonly,0.9134,0.9329
QRFT,equity_longonly,U,Y,medium,Y,generic,exchange traded concepts white-label; qraft ai large cap equity by name,equity_longonly,0.7973,0.8613
RFEU,equity_longonly,Y,Y,medium,Y,https://www.etf.com/RFEU,riverfront dynamic europe; holds individual european stocks not etfs; tactical; looked up,equity_longonly,0.653,0.772
SMIG,equity_longonly,N,Y,high,Y,adv_data/brochures/46727/text.txt Item 4/8,aam bahl & gaynor small/mid cap income growth; dividend equity,equity_longonly,0.9693,0.9854
SOLR,equity_longonly,U,Y,medium,Y,generic,penserra is generic tracking subadviser; sustainable energy thematic equity by name,equity_longonly,0.9615,0.9754
SURE,equity_longonly,U,Y,medium,Y,generic,wilshire brochure generic; insider advantage equity by name,equity_longonly,0.5822,0.7715
SYLD,equity_longonly,N,Y,high,Y,adv_data/brochures/141600/text.txt Item 4/8,cambria shareholder yield factor equity; quarterly rebalanced,equity_longonly,0.8672,0.9317
TMFG,equity_longonly,N,Y,medium,Y,name,motley fool global opportunities; long-only global equity; no brochure filed,equity_longonly,0.9728,0.9858
UMI,equity_longonly,N,Y,high,Y,adv_data/brochures/105800/text.txt Item 4/8,miller howard midstream mlp sub-adviser; dividend value long-only,equity_longonly,0.9818,0.991
UTES,equity_longonly,N,Y,high,Y,adv_data/brochures/3140/text.txt Item 8,reaves utilities sub-adviser; long-term value equity,equity_longonly,0.9576,0.9793
VCLN,equity_longonly,N,Y,high,Y,adv_data/brochures/107296/text.txt Item 8,duff phelps global clean energy; bottom-up fundamental long-only,equity_longonly,0.9128,0.95
VFMF,equity_longonly,N,Y,medium,Y,name,vanguard active multifactor equity; long-only; no brochure filed,equity_longonly,0.8413,0.9181
VFQY,equity_longonly,N,Y,medium,Y,name,vanguard quality factor equity; long-only; no brochure filed,equity_longonly,0.8752,0.9351
VFVA,equity_longonly,N,Y,medium,Y,name,vanguard value factor equity; long-only; no brochure filed,equity_longonly,0.9072,0.9501
VGFO,equity_longonly,N,Y,medium,N,name,wellington WMC global factor equity; long-only; name_type blank,,0.7522,0.8726
VICE,equity_longonly,N,Y,medium,Y,name,advisorshares vice thematic equity; long-only; no brochure filed,equity_longonly,0.781,0.8826
WINN,equity_longonly,N,Y,high,Y,adv_data/brochures/107959/text.txt Item 4,jennison sub-adviser large-cap growth; long-only long-term growers,equity_longonly,0.9764,0.988
WUGI,equity_longonly,Y,Y,high,Y,adv_data/brochures/304570/text.txt Item 8,esoterica nextg thematic tech equity; sector rotation within equities,equity_longonly,0.9292,0.9642
ZIG,equity_longonly,N,Y,medium,Y,https://www.etfstrategy.com/acquirers-funds-debuts-with-long-short-deep-value-etf-zig-us-48594/,acquirers deep value; launched 130/30 long-short but shorts removed 2021 now long-only; looked up,equity_longonly,0.7094,0.8503
AESR,allocation_fof,Y,Y,medium,Y,https://stockanalysis.com/etf/aesr/holdings/,anfield holds US equity sector ETFs plus some stocks; sector rotation; looked up,allocation_fof,0.8969,0.947
AFLG,equity_longonly,N,Y,high,Y,adv_data/brochures/107027/text.txt Item 8,first trust quantitative multifactor equity; long-only large cap,equity_longonly,0.9484,0.9713
AFMC,equity_longonly,N,Y,high,Y,adv_data/brochures/107027/text.txt Item 8,first trust quantitative multifactor equity; long-only mid cap,equity_longonly,0.8904,0.9426
AFSM,equity_longonly,N,Y,high,Y,adv_data/brochures/107027/text.txt Item 8,first trust quantitative multifactor equity; long-only small cap,equity_longonly,0.8612,0.9269
AIEQ,equity_longonly,U,Y,medium,Y,name,ai powered active US equity; long-only; no brochure filed,equity_longonly,0.4452,0.6037
AVGE,allocation_fof,N,Y,medium,Y,generic,avantis all-equity etf-of-etfs; brochure text not extractable; allocation by structure,allocation_fof,0.9908,0.9916
BBLU,equity_longonly,N,Y,high,Y,adv_data/brochures/111441/text.txt Item 8,bridgeway blue chip statistical large-cap; long-only,equity_longonly,0.977,0.9863
BFTR,equity_longonly,N,Y,high,Y,adv_data/brochures/105247/text.txt Item 4/8,blackrock future innovators smid growth; long-only active equity,equity_longonly,0.9029,0.9489
BRNY,equity_longonly,Y,Y,high,Y,adv_data/brochures/106945/text.txt Item 8,burney size-style responsive factor; long-only equity rotation,equity_longonly,0.614,0.7934
CCOR,equity_options,N,Y,high,Y,adv_data/brochures/302011/text.txt Item 8,core alternative dividend equity plus index call/put overlay; hedged equity,equity_options,0.9756,0.9869
CGDV,equity_longonly,N,Y,high,Y,adv_data/brochures/110885/text.txt Item 4/8,capital group active dividend value; bottom-up fundamental long-only,equity_longonly,0.9422,0.9712
CGGR,equity_longonly,N,Y,high,Y,adv_data/brochures/110885/text.txt Item 4/8,capital group active growth; bottom-up fundamental long-only,equity_longonly,0.9724,0.9856
CGUS,equity_longonly,N,Y,high,Y,adv_data/brochures/110885/text.txt Item 4/8,capital group core equity; bottom-up fundamental long-only,equity_longonly,0.9643,0.9817
DFNV,equity_longonly,Y,Y,medium,N,https://www.etf.com/DFNV,donoghue forlines FCF and R&D innovation stocks; risk-managed de-risk overlay; looked up,,0.7778,0.8872
DIVD,equity_longonly,N,Y,high,Y,adv_data/brochures/121529/text.txt Item 8,altrius sub-adviser global dividend; value long-only equity,equity_longonly,0.955,0.9767
DIVZ,equity_longonly,N,Y,medium,Y,adv_data/brochures/322755/text.txt Item 8,opal dividend income concentrated equity; no options overlay confirmed via lookup,equity_longonly,0.8668,0.9307
DSCF,allocation_fof,N,Y,medium,Y,adv_data/brochures/164874/text.txt Item 4,orcam discipline sub-adviser; fund of low-cost ETFs,allocation_fof,0.9837,0.9917
DSTL,equity_longonly,N,Y,high,Y,adv_data/brochures/297521/text.txt Item 8,distillate quality-value quant US large cap; index-reconstituted long-only,equity_longonly,0.8307,0.9123
DSTX,equity_longonly,N,Y,high,Y,adv_data/brochures/297521/text.txt Item 8,distillate quality-value quant international; index-reconstituted long-only,equity_longonly,0.7788,0.8798
DWAT,allocation_fof,Y,Y,medium,Y,name,arrow dorsey wright tactical fund-of-ETFs; relative-strength rotation; no brochure filed,allocation_fof,0.6826,0.8293
DWAW,allocation_fof,Y,Y,medium,Y,name,advisorshares dorsey wright FSM fund-of-ETFs; momentum rotation; no brochure filed,allocation_fof,0.4957,0.7411
DWCR,equity_longonly,Y,Y,medium,N,name,arrow dorsey wright country rotation fund-of-ETFs; momentum; name_type blank,,0.6517,0.8189
DWFI,allocation_fof,Y,Y,medium,N,name,dorsey wright fixed income fund-of-bond-ETFs; momentum rotation; name_type blank,,0.6969,0.8406
DWUS,allocation_fof,Y,Y,medium,Y,name,advisorshares dorsey wright FSM US core fund-of-ETFs; momentum rotation; no brochure filed,allocation_fof,0.7477,0.8639
DYNF,equity_longonly,Y,Y,high,Y,adv_data/brochures/105247/text.txt Item 4/8,ishares US equity factor rotation single stocks; rotates style factors,equity_longonly,0.9006,0.9463
ECOZ,equity_longonly,N,Y,medium,Y,name,trueshares ESG active large-cap equity; long-only; no brochure filed,equity_longonly,0.9658,0.9816
FFSG,allocation_fof,Y,Y,medium,Y,name,formulafolios smart growth fund-of-ETFs; tactical model; no brochure filed,allocation_fof,0.9753,0.9876
FFTG,allocation_fof,Y,Y,medium,Y,name,formulafolios tactical growth fund-of-ETFs; tactical model; no brochure filed,allocation_fof,0.8108,0.8997
FFTI,allocation_fof,Y,Y,high,Y,https://regulated-documents.saytechnologies.com/prospectuses/b783bb57-4e3b-4251-aef9-e06ffb45b134-66538H666.pdf,looked up; holds bond ETFs; tactical asset-class ranking,allocation_fof,0.8328,0.9136
FISR,allocation_fof,Y,Y,medium,Y,generic,SSGA FM brochure generic; fixed income sector rotation fund-of-ETFs,allocation_fof,0.9339,0.9627
FWDB,allocation_fof,Y,Y,high,N,https://www.sec.gov/Archives/edgar/data/1408970/000114420415061941/v423134_497kfwdb.htm,looked up; ETF-of-ETFs holding bond ETPs; yield-curve mean-reversion; defunct,,0.7464,0.8571
GAA,allocation_fof,N,Y,medium,Y,adv_data/brochures/141600/text.txt Item 4,Cambria; global asset allocation fund-of-ETFs; buy-hold,allocation_fof,0.9694,0.9844
GAL,allocation_fof,Y,Y,medium,Y,generic,SSGA FM generic; global multi-asset fund-of-ETFs,allocation_fof,0.924,0.9597
GDMA,allocation_fof,Y,Y,medium,Y,generic,171412 ETF Architect white-label generic; Gadsden dynamic multi-asset by name,allocation_fof,0.451,0.6449
GK,equity_longonly,N,Y,high,Y,adv_data/brochures/153649/text.txt Item 4,Gerber Kawasaki; focused growth stock book,equity_longonly,0.9421,0.9728
GMOM,allocation_fof,Y,Y,high,Y,adv_data/brochures/141600/text.txt Item 4,Cambria; global momentum fund-of-ETFs; rotates,allocation_fof,0.7083,0.843
GSPY,equity_longonly,N,Y,medium,N,adv_data/brochures/149335/text.txt Item 8,Gotham; enhanced 500 long/short overlay; shorts overvalued names,equity_longonly,0.9801,0.9893
INKM,allocation_fof,Y,Y,medium,Y,generic,SSGA FM generic; income multi-asset fund-of-ETFs,allocation_fof,0.9248,0.9602
ITAN,equity_longonly,N,Y,high,Y,adv_data/brochures/314364/text.txt Item 8,Sparkline; long-only intangible value quant equity,equity_longonly,0.9571,0.9772
KOCG,equity_longonly,N,Y,high,Y,adv_data/brochures/174129/text.txt Item 4,KOCAA sub-adviser; catholic-screened global equity,equity_longonly,0.9344,0.9642
LCTU,equity_longonly,N,Y,medium,Y,generic,BlackRock brochures generic; name-based long-only US equity carbon tilt,equity_longonly,0.9816,0.9907
LDSF,allocation_fof,Y,Y,high,N,https://www.etf.com/LDSF,First Trust brochure generic; fund-of-First-Trust-bond-ETFs by structure; looked up,fixed_income,0.9388,0.9668
LRGE,equity_longonly,N,Y,high,Y,adv_data/brochures/137028/text.txt Item 8,ClearBridge via FTPPG; large cap growth ESG long-only,equity_longonly,0.9722,0.9854
MBOX,equity_longonly,N,Y,high,Y,adv_data/brochures/138962/text.txt Item 8,Freedom Day; dividend growth stock book,equity_longonly,0.8878,0.9415
OCIO,allocation_fof,Y,Y,high,Y,adv_data/brochures/157531/text.txt Item 4,ClearShares; multi-asset ETF-of-ETFs; tactical,allocation_fof,0.9187,0.9583
PDBC,commodity_futures,N,Y,high,Y,generic,Invesco brochure generic; diversified commodity futures No K-1,commodity_futures,0.8957,0.9466
PPI,allocation_fof,Y,Y,medium,N,adv_data/brochures/288271/text.txt Item 8,Astoria; single stocks plus ETF overlay; multi-asset inflation,other,0.7985,0.891
PSFF,allocation_fof,U,Y,high,Y,adv_data/brochures/114669/text.txt Item 4,Swan; SOS fund-of-funds by name and structure,allocation_fof,0.9256,0.9646
QVAL,equity_longonly,N,Y,medium,Y,adv_data/brochures/153905/text.txt Item 8,Alpha Architect; quant deep value long-only,equity_longonly,0.6047,0.7837
QXGG,allocation_fof,Y,Y,high,N,https://www.etf.com/QXGG,looked up; dynamic asset allocation holding ETFs; can go to cash,,0.8636,0.9146
RISN,allocation_fof,Y,Y,medium,N,adv_data/brochures/171988/text.txt Item 8,Inspire; tactical balanced multi-asset; biblically screened,equity_longonly,0.7459,0.8493
RLY,allocation_fof,Y,Y,medium,Y,generic,SSGA FM generic; multi-asset real return fund-of-ETFs,allocation_fof,0.9728,0.9853
RORO,allocation_fof,Y,Y,high,Y,https://www.sec.gov/Archives/edgar/data/1742912/000183988222030547/roro-497k_122922.htm,looked up; fund-of-funds toggling equity ETFs vs Treasury ETFs,allocation_fof,0.4595,0.5214
SECT,allocation_fof,Y,Y,high,Y,https://www.etf.com/SECT,looked up; fund-of-funds sector-ETF rotation,allocation_fof,0.9225,0.9599
SIXA,equity_longonly,N,Y,high,Y,adv_data/brochures/307461/text.txt Item 8,6 Meridian via Madison Avenue Solutions; quant factor equity,equity_longonly,0.8284,0.8927
SIXL,equity_longonly,N,Y,medium,Y,adv_data/brochures/307461/text.txt Item 8,low beta is factor screen not options overlay,equity_longonly,0.8546,0.9244
SIXS,equity_longonly,N,Y,high,Y,adv_data/brochures/307461/text.txt Item 8,6 Meridian small cap quant factor equity,equity_longonly,0.7778,0.884
SMCP,equity_longonly,N,Y,high,Y,adv_data/brochures/109366/text.txt Item 8,AlphaMark; actively managed small cap equity,equity_longonly,0.8062,0.8968
SQEW,allocation_fof,Y,Y,medium,Y,https://www.sec.gov/Archives/edgar/data/1552947/000158064225001744/lsequityskew497k.htm,looked up; statistical skew not options; contrarian factor equity; borderline fof,equity_longonly,0.6849,0.8361
SSFI,allocation_fof,Y,Y,high,Y,adv_data/brochures/139671/text.txt Item 8,Day Hagan/NDR; fund of fixed-income ETFs; model reallocates,allocation_fof,0.8878,0.936
SSUS,allocation_fof,Y,Y,high,Y,adv_data/brochures/139671/text.txt Item 8,Day Hagan/NDR; fund of sector equity ETFs; tactical,allocation_fof,0.8188,0.8989
TDSA,allocation_fof,Y,Y,high,Y,adv_data/brochures/151418/text.txt Item 8,Cabana Target Drawdown 5; all-asset ETF-of-ETFs; CARA tactical,allocation_fof,0.3634,0.6043
TDSB,allocation_fof,Y,Y,high,Y,adv_data/brochures/151418/text.txt Item 8,Cabana Target Drawdown 7; all-asset ETF-of-ETFs; CARA tactical,allocation_fof,0.5341,0.7039
TDSC,allocation_fof,Y,Y,high,Y,adv_data/brochures/151418/text.txt Item 8,Cabana Target Drawdown 10; all-asset ETF-of-ETFs; CARA tactical,allocation_fof,0.4554,0.67
TDSD,allocation_fof,Y,Y,high,Y,adv_data/brochures/151418/text.txt Item 8,Cabana Target Drawdown 13; all-asset ETF-of-ETFs; CARA tactical,allocation_fof,0.3029,0.5709
TDSE,allocation_fof,Y,Y,high,Y,adv_data/brochures/151418/text.txt Item 8,Cabana Target Drawdown 16; all-asset ETF-of-ETFs; CARA tactical,allocation_fof,0.2715,0.5384
TRTY,allocation_fof,Y,Y,high,Y,adv_data/brochures/141600/text.txt Item 4,Cambria Trinity; global allocation fund-of-ETFs; trend/momentum,allocation_fof,0.9233,0.96
TTAC,equity_longonly,N,Y,high,Y,adv_data/brochures/135152/text.txt Item 8,FCF Advisors; free cash flow quality long-only equity,equity_longonly,0.885,0.941
VEGA,equity_options,N,Y,high,Y,adv_data/brochures/281213/text.txt Item 4/8,creativeone sub-adviser; global buy-write covered-call overlay,equity_options,0.9893,0.9945
WBII,allocation_fof,Y,Y,medium,Y,adv_data/brochures/106336/text.txt Item 8,WBI balanced-income tactical multi-asset trend-switch; asset mix inferred,allocation_fof,0.3793,0.584
WBIR,allocation_fof,Y,Y,medium,Y,adv_data/brochures/106336/text.txt Item 8,WBI rising-income tactical multi-asset; asset mix inferred,allocation_fof,0.1615,0.4526
WBIT,allocation_fof,Y,Y,high,Y,https://finance.yahoo.com/quote/WBIT/holdings/,trend-switch between equity and bond ETFs; tactical allocation; looked up,allocation_fof,0.401,0.5608
XDAT,equity_longonly,N,Y,medium,Y,name,Franklin Exponential Data thematic equity; Franklin brochure generic,equity_longonly,0.9469,0.9721
XLSR,allocation_fof,Y,Y,high,Y,https://www.ssga.com/us/en/individual/etfs/spdr-ssga-us-sector-rotation-etf-xlsr,holds Select Sector SPDR ETFs; tactical rotation; looked up,allocation_fof,0.8644,0.9202
ACSI,equity_longonly,N,Y,high,Y,https://www.acsietf.com/,US large-cap equity weighted by customer-satisfaction index; looked up,equity_longonly,0.9108,0.9536
ACVF,equity_longonly,N,Y,high,Y,adv_data/brochures/286622/text.txt Item 4/8,Vident values-based equity screening long-only,equity_longonly,0.9695,0.9848
AHLT,commodity_futures,Y,Y,high,Y,adv_data/brochures/167882/text.txt Item 8,AHL Partners systematic momentum/managed-futures,commodity_futures,,
AIVI,equity_longonly,N,Y,high,Y,adv_data/brochures/139684/text.txt Item 8,WisdomTree AI-enhanced international value equity,equity_longonly,0.7177,0.7613
AIVL,equity_longonly,N,Y,high,Y,adv_data/brochures/139684/text.txt Item 8,WisdomTree AI-enhanced US value equity,equity_longonly,0.8702,0.9331
ARKF,equity_longonly,N,Y,high,Y,adv_data/brochures/169525/text.txt Item 8,ARK fintech-innovation thematic equity; high turnover,equity_longonly,0.9624,0.9806
ARP,allocation_fof,Y,Y,high,Y,adv_data/brochures/308010/text.txt Item 8,PMV adaptive risk parity; momentum multi-asset via ETFs and pools,allocation_fof,0.7446,0.8551
AVGV,allocation_fof,N,Y,high,Y,https://finance.yahoo.com/quote/AVGV/holdings/,fund of Avantis value-equity ETFs; looked up,allocation_fof,0.998,0.9984
AVMA,allocation_fof,N,Y,high,Y,name,Avantis Moderate Allocation fund-of-Avantis-ETFs; looked up,allocation_fof,0.9898,0.9923
AVNM,allocation_fof,N,Y,high,Y,name,Avantis All International Markets fund-of-funds; looked up,allocation_fof,0.9965,0.9969
AVNV,allocation_fof,N,Y,high,Y,name,Avantis All International Markets Value fund-of-funds; looked up,allocation_fof,0.999,0.9987
